x, p
0, 6.639677199580735e-36
1, 5.37813853166042e-34
2, 2.1781461053224768e-32
3, 5.8809944843706455e-31
4, 1.1909013830850571e-29
5, 1.9292602405977963e-28
6, 2.6045013248070204e-27
7, 3.013780104419561e-26
8, 3.0514523557248028e-25
9, 2.74630712015231e-24
10, 2.224508767323387e-23
11, 1.6380473650290326e-22
12, 1.105681971394593e-21
13, 6.88924920638178e-21
14, 3.985922755120862e-20
15, 2.1523982877652597e-19
16, 1.0896516331811676e-18
17, 5.1918695463338095e-18
18, 2.336341295850199e-17
19, 9.960191840203511e-17
20, 4.033877695282444e-16
21, 1.555924253894632e-15
22, 5.728630207521192e-15
23, 2.0174741165618207e-14
24, 6.808975143396107e-14
25, 2.206107946460337e-13
26, 6.872874756280352e-13
27, 2.06186242688413e-12
28, 5.964673449200387e-12
29, 1.6659949978801388e-11
30, 4.4981864942763225e-11
31, 1.1753326001173808e-10
32, 2.9750606440471067e-10
33, 7.302421580842678e-10
34, 1.739694553083183e-09
35, 4.026150251421052e-09
36, 9.058838065697162e-09
37, 1.9831510360040368e-08
38, 4.227242997798054e-08
39, 8.779658533888146e-08
40, 1.777880853112343e-07
41, 3.512398758587838e-07
42, 6.773911891562138e-07
43, 1.2760159609687156e-06
44, 2.3490293826923897e-06
45, 4.228252888846089e-06
46, 7.445401826012091e-06
47, 1.283143718950966e-05
48, 2.165305025729785e-05
49, 3.579381777226893e-05
50, 5.7985984791074684e-05
51, 9.209538760935301e-05
52, 0.00014345627685302984
53, 0.00021924449858670185
54, 0.00032886674788006076
55, 0.00048433102869607916
56, 0.0007005502379354033
57, 0.0009955187591714036
58, 0.0013902934395324412
59, 0.0019087079424089685
60, 0.0025767557222519627
61, 0.0034215936639739246
62, 0.004470146560998447
63, 0.005747331292712373
64, 0.007273966167338948
65, 0.009064480916222467
66, 0.01112459021536358
67, 0.013449131454395191
68, 0.01602028893832343
69, 0.01880642614498811
70, 0.021761721682058092
71, 0.024826752904882433
72, 0.027930097017993247
73, 0.03099092956791019
74, 0.03392250398649876
75, 0.03663630430541716
76, 0.039046587483404276
77, 0.04107498163838577
78, 0.04265478862447868
79, 0.04373465669092524
80, 0.04428133989955653
81, 0.04428133989955653
82, 0.043741323559316564
83, 0.042687315762708615
84, 0.04116276877118366
85, 0.03922569729960075
86, 0.036945133503112196
87, 0.03439719326151652
88, 0.03166105288844193
89, 0.028815115550156135
90, 0.025933603995139175
91, 0.023083757402266487
92, 0.02032374293025595
93, 0.01770132448764286
94, 0.015253268973394577
95, 0.013005418808894607
96, 0.010973322120004021
97, 0.009163289605364552
98, 0.0075737393676994814
99, 0.006196695846299402
100, 0.005019323635502565
101, 0.004025398163125956
102, 0.003196639717776457
103, 0.0025138623023291326
104, 0.001957911985467923
105, 0.0015103892459323478
106, 0.0011541653671747277
107, 0.0008737139695434488
108, 0.0006552854771576199
109, 0.00048695526284187144
110, 0.0003585761480926629
111, 0.0002616636756351917
112, 0.00018923890827185868
113, 0.00013564912893823704
114, 9.638227582454886e-05
115, 6.78866464503302e-05
116, 4.740360657307273e-05
117, 3.2817881473666765e-05
118, 2.2527528808194583e-05
119, 1.533386414675528e-05
120, 1.035035829905921e-05
121, 6.928752249783446e-06
122, 4.6002371494466485e-06
123, 3.0294244642698274e-06
124, 1.978898238756844e-06
125, 1.2823260587143938e-06
126, 8.243524663164535e-07
127, 5.25768108438049e-07
128, 3.3271263112094543e-07
129, 2.0891258233175653e-07
130, 1.3016860899132253e-07
131, 8.048593380379655e-08
132, 4.938909574322869e-08
133, 3.007907334738077e-08
134, 1.818212642640337e-08
135, 1.0909275855842122e-08
136, 6.497436355318357e-09
137, 3.84154996190318e-09
138, 2.254822803726e-09
139, 1.3139614899410591e-09
140, 7.602205763229252e-10
141, 4.367224587387092e-10
142, 2.491163320974602e-10
143, 1.4110785244680558e-10
144, 7.937316700132717e-11
145, 4.433949329039473e-11
146, 2.459930792138673e-11
147, 1.3554720691376022e-11
148, 7.418462000009533e-12
149, 4.032855181213359e-12
150, 2.1777417978549965e-12
151, 1.1681926200413642e-12
152, 6.225236988378706e-13
153, 3.2957136997296913e-13
154, 1.7334598031045517e-13
155, 9.058725422676295e-14
156, 4.7035689694669235e-14
157, 2.426682079788292e-14
158, 1.2440585345751942e-14
159, 6.3376566855718196e-15
160, 3.20843869707071e-15
161, 1.6141834438678776e-15
162, 8.070917219338914e-16
163, 4.010701194886153e-16
164, 1.9808951023523496e-16
165, 9.72439413881989e-17
166, 4.7450356942431235e-17
167, 2.3014843786450403e-17
168, 1.1096442539895804e-17
169, 5.3184132883527596e-18
170, 2.5340675079796935e-18
171, 1.2003477669379041e-18
172, 5.652800530346433e-19
173, 2.6466869535147943e-19
174, 1.2320784093948239e-19
175, 5.702762923485449e-20
176, 2.6245670272859606e-20
177, 1.2010730463850162e-20
178, 5.465557121189822e-21
179, 2.4732409319349484e-21
180, 1.1129584193706667e-21
181, 4.980642650223595e-22
182, 2.2166596410330456e-22
183, 9.81144431276982e-23
184, 4.319168420296051e-23
185, 1.8910953623995178e-23
186, 8.235415287869123e-24
187, 3.5672119696120384e-24
188, 1.536937072013627e-24
189, 6.586873165772425e-25
190, 2.808088033829353e-25
191, 1.1908645588491475e-25
192, 5.0239598576450345e-26
193, 2.108501287405353e-26
194, 8.803536303084544e-27
195, 3.65685354128142e-27
196, 1.5112506981826663e-27
197, 6.213771906232892e-28
198, 2.541997598004289e-28
199, 1.034682439388794e-28
200, 4.190463879523934e-29
201, 1.6886943992110978e-29
202, 6.771497343371836e-30
203, 2.701927511394737e-30
204, 1.072824158936131e-30
205, 4.238963749942676e-31
206, 1.6667770084726518e-31
207, 6.522170902718995e-32
208, 2.5398838611550415e-32
209, 9.84356903127005e-33
210, 3.7968051977754576e-33
211, 1.4575413318475959e-33
212, 5.56890791885138e-34
